1,Mary,Moran,Mary@mail.com,0851112222
2,Eoghan,Butler,eoghan@mail.com,0857441111
3,Steven,Laird,Steven@mail.com,123456
4,Jessie,Rocket,Jessie@rocketmail.com,111
5,James,Rocket,James@rocket.com,222
6,Roy,Flare,roy@smash.com,000
7,Marth,Dolphin,Marth@smash.com,111
8,Mario ,Mario,Mario@nintendo.com,123
9,Luigi,Mario,Luigi@nintendo.com,321
10,Sonic,Hedgehog,sonic@sega.com,456
11,Knuckles,Echidna,knuckles@sega.com,654
12,Goku,Saiyan,goku@capsulecorp.com,789
13,Vegeta,Saiyan,vegeta@capsulecorp.com,987
14,Naruto,Uzamaki,naruto@ninja.com,147
15,Sasuke,Uchiha,sasuke@ninja.com,741
